model,accuracy,f1,roc_auc
Random Forest,0.9953161592505855,0.9962476547842402,0.9999825086145073
Gradient Boosting,0.9988290398126464,0.9990592662276576,0.9969127704605483
Logistic Regression,0.9344262295081968,0.9473684210526315,0.984240261671127
