year_month,avg_consumer_loan_rate_rub
2020-02,10.902692307692307
2020-03,10.776153846153846
2020-04,10.382307692307693
2020-05,10.991538461538461
2020-06,10.605384615384615
2020-07,9.681153846153846
2020-08,9.35923076923077
2020-09,9.115
2020-10,9.083461538461538
2020-11,9.282307692307693
2020-12,9.191923076923077
2021-01,9.192307692307692
2021-02,9.288076923076924
2021-03,9.172692307692309
2021-04,9.107692307692307
2021-05,9.367307692307692
2021-06,9.620000000000001
2021-07,9.654230769230768
2021-08,10.147692307692306
2021-09,10.605384615384615
2021-10,10.38846153846154
2021-11,11.061923076923078
2021-12,11.052692307692308
2022-01,11.029230769230768
2022-02,12.110000000000001
2022-03,12.59769230769231
2022-04,17.161923076923078
2022-05,17.220769230769232
2022-06,16.317307692307693
2022-07,14.223461538461539
2022-08,12.774230769230769
2022-09,12.790000000000001
2022-10,12.335384615384616
2022-11,12.868461538461538
2022-12,12.341923076923077
2023-01,11.65230769230769
2023-02,13.085384615384616
2023-03,12.608461538461539
2023-04,13.019615384615385
2023-05,12.555384615384614
2023-06,13.308461538461538
2023-07,12.701538461538462
2023-08,12.764999999999999
2023-09,14.506153846153847
2023-10,15.14576923076923
2023-11,15.933846153846153
2023-12,16.275
2024-01,16.682692307692307
2024-02,18.618846153846157
2024-03,18.223846153846154
2024-04,18.706923076923076
2024-05,18.610384615384614
2024-06,19.15346153846154
2024-07,18.768846153846155
2024-08,19.563846153846153
2024-09,20.74846153846154
2024-10,21.089615384615385
2024-11,21.345384615384617
2024-12,22.156153846153845
2025-01,23.616153846153846
